{'a': 1, 'rpitime': 3141.77, 'x': '1.00', 'y': '1.36', 'z': '0.49', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.72', '2.43', '7.33', '7.82'], 'roll_eul': 1.48, 'pitch_eul': -0.09, 'yaw_eul': -17.61, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.0, 1.36], 'Ppro': [0.4, 1.36], 'Vgo': [-0.16, 0.99], 'ADeviation': 31.02, 'Aaims': 120.96, 'reviseLv': 2, 'reviseFlag': 1, 'spL': -40, 'spR': 40, 'Yaw_deg': 89.94, 'stage': 1, 'round_count': 0}
{'a': 2, 'rpitime': 3142.03, 'x': '0.99', 'y': '1.33', 'z': '0.48', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.63', '2.39', '7.39', '8.09'], 'roll_eul': 1.6, 'pitch_eul': -0.3, 'yaw_eul': -14.3, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [0.99, 1.33], 'Ppro': [0.4, 1.33], 'Vgo': [-0.16, 0.99], 'ADeviation': 27.29, 'Aaims': 120.54, 'reviseLv': 1, 'reviseFlag': 1, 'spL': -20, 'spR': 20, 'Yaw_deg': 93.25, 'stage': 1, 'round_count': 0, 'OfA1': 40, 'OfB1': 40, 'dir1': 0, 'TfA1': 840, 'TfB1': 840, 'FA1': 780, 'FB1': 800, 'pwmA1': 55, 'pwmB1': 65, 'over1': 0, 'pM1': 3138387, 'OfA2': 40, 'OfB2': 40, 'dir2': 0, 'TfA2': 840, 'TfB2': 840, 'FA2': 760, 'FB2': 760, 'pwmA2': 75, 'pwmB2': 85, 'over2': 0, 'pM2': 3138342}
{'a': 3, 'rpitime': 3142.32, 'x': '1.01', 'y': '1.29', 'z': '0.63', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.46', '2.25', '7.37', '8.82'], 'roll_eul': 1.54, 'pitch_eul': -0.47, 'yaw_eul': -8.54, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.01, 1.29], 'Ppro': [0.4, 1.29], 'Vgo': [-0.16, 0.99], 'ADeviation': 22.37, 'Aaims': 121.38, 'reviseLv': 1, 'reviseFlag': 1, 'spL': -20, 'spR': 20, 'Yaw_deg': 99.01, 'stage': 1, 'round_count': 0, 'OfA1': 20, 'OfB1': 20, 'dir1': 0, 'TfA1': 420, 'TfB1': 420, 'FA1': 390, 'FB1': 420, 'pwmA1': 30, 'pwmB1': 50, 'over1': 0, 'pM1': 3138672, 'OfA2': 20, 'OfB2': 20, 'dir2': 0, 'TfA2': 420, 'TfB2': 420, 'FA2': 430, 'FB2': 510, 'pwmA2': 60, 'pwmB2': 50, 'over2': 0, 'pM2': 3138628}
{'a': 4, 'rpitime': 3142.75, 'x': '1.25', 'y': '1.30', 'z': '0.52', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['2.09', '2.16', '7.57', '7.84'], 'roll_eul': 1.56, 'pitch_eul': -0.5, 'yaw_eul': -3.81, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.25, 1.3], 'Ppro': [0.4, 1.3], 'Vgo': [-0.22, 0.97], 'ADeviation': 26.62, 'Aaims': 130.36, 'reviseLv': 1, 'reviseFlag': 1, 'spL': -20, 'spR': 20, 'Yaw_deg': 103.74, 'stage': 1, 'round_count': 0, 'OfA1': 20, 'OfB1': 20, 'dir1': 0, 'TfA1': 420, 'TfB1': 420, 'FA1': 400, 'FB1': 430, 'pwmA1': 40, 'pwmB1': 50, 'over1': 0, 'pM1': 3139053, 'OfA2': 20, 'OfB2': 20, 'dir2': 0, 'TfA2': 420, 'TfB2': 420, 'FA2': 400, 'FB2': 360, 'pwmA2': 55, 'pwmB2': 65, 'over2': 0, 'pM2': 3139103, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 323.0, 'WindSpeed': 37.08, 'CO2': 0, 'ultrasound': [138, 180, 101, 683], 'mgt': 10849}
{'a': 5, 'rpitime': 3143.06, 'x': '1.14', 'y': '1.31', 'z': '0.22', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['2.02', '2.90', '7.52', '7.82'], 'roll_eul': 1.53, 'pitch_eul': -0.46, 'yaw_eul': -0.28, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.14, 1.31], 'Ppro': [0.4, 1.31], 'Vgo': [-0.2, 0.98], 'ADeviation': 19.23, 'Aaims': 126.5, 'reviseLv': 1, 'reviseFlag': 1, 'spL': -20, 'spR': 20, 'Yaw_deg': 107.27, 'stage': 1, 'round_count': 0, 'OfA1': 20, 'OfB1': 20, 'dir1': 0, 'TfA1': 420, 'TfB1': 420, 'FA1': 410, 'FB1': 410, 'pwmA1': 50, 'pwmB1': 40, 'over1': 0, 'pM1': 3139434, 'OfA2': 20, 'OfB2': 20, 'dir2': 0, 'TfA2': 420, 'TfB2': 420, 'FA2': 400, 'FB2': 430, 'pwmA2': 50, 'pwmB2': 70, 'over2': 0, 'pM2': 3139390, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 323.0, 'WindSpeed': 37.08, 'CO2': 0, 'ultrasound': [138, 180, 101, 683], 'mgt': 10849}
{'a': 7, 'rpitime': 3143.62, 'x': '1.00', 'y': '1.21', 'z': '-0.01', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.93', '2.63', '7.70', '7.75'], 'roll_eul': 1.47, 'pitch_eul': -0.73, 'yaw_eul': 6.75, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.0, 1.21], 'Ppro': [0.4, 1.21], 'Vgo': [-0.16, 0.99], 'ADeviation': 6.66, 'Aaims': 120.96, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 78, 'spR': 100, 'Yaw_deg': 114.3, 'stage': 1, 'round_count': 0, 'OfA1': 100, 'OfB1': 78, 'dir1': 2, 'TfA1': 2100, 'TfB1': 1638, 'FA1': 410, 'FB1': 410, 'pwmA1': 60, 'pwmB1': 70, 'over1': 0, 'pM1': 3140004, 'OfA2': 20, 'OfB2': 20, 'dir2': 0, 'TfA2': 420, 'TfB2': 420, 'FA2': 440, 'FB2': 440, 'pwmA2': 50, 'pwmB2': 50, 'over2': 3, 'pM2': 3139961, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 323.0, 'WindSpeed': 37.08, 'CO2': 0, 'ultrasound': [138, 180, 101, 683], 'mgt': 10849}
{'a': 8, 'rpitime': 3143.92, 'x': '1.00', 'y': '1.23', 'z': '0.04', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.93', '2.43', '7.59', '7.68'], 'roll_eul': 1.35, 'pitch_eul': -1.61, 'yaw_eul': 9.84, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.0, 1.23], 'Ppro': [0.4, 1.23], 'Vgo': [-0.16, 0.99], 'ADeviation': 3.57, 'Aaims': 120.96, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 89, 'spR': 100, 'Yaw_deg': 117.39, 'stage': 1, 'round_count': 0, 'OfA1': 100, 'OfB1': 78, 'dir1': 2, 'TfA1': 2100, 'TfB1': 1638, 'FA1': 1990, 'FB1': 1580, 'pwmA1': 90, 'pwmB1': 55, 'over1': 9, 'pM1': 3140291, 'OfA2': 100, 'OfB2': 78, 'dir2': 2, 'TfA2': 2100, 'TfB2': 1638, 'FA2': 2310, 'FB2': 1510, 'pwmA2': 100, 'pwmB2': 55, 'over2': 0, 'pM2': 3140248, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 323.0, 'WindSpeed': 37.08, 'CO2': 0, 'ultrasound': [113, 140, 99, 684], 'mgt': 12079}
{'a': 9, 'rpitime': 3144.22, 'x': '1.10', 'y': '1.31', 'z': '0.14', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.99', '2.51', '7.45', '7.60'], 'roll_eul': 1.28, 'pitch_eul': -0.99, 'yaw_eul': 11.34, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.1, 1.31], 'Ppro': [0.4, 1.31], 'Vgo': [-0.19, 0.98], 'ADeviation': 6.1, 'Aaims': 124.99, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 80, 'spR': 100, 'Yaw_deg': 118.89, 'stage': 1, 'round_count': 0, 'OfA1': 100, 'OfB1': 89, 'dir1': 2, 'TfA1': 2100, 'TfB1': 1869, 'FA1': 1940, 'FB1': 1720, 'pwmA1': 105, 'pwmB1': 80, 'over1': 2, 'pM1': 3140578, 'OfA2': 100, 'OfB2': 89, 'dir2': 2, 'TfA2': 2100, 'TfB2': 1869, 'FA2': 1940, 'FB2': 1710, 'pwmA2': 110, 'pwmB2': 80, 'over2': 0, 'pM2': 3140536, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 323.0, 'WindSpeed': 37.08, 'CO2': 0, 'ultrasound': [113, 140, 99, 684], 'mgt': 12079}
{'a': 10, 'rpitime': 3144.52, 'x': '1.03', 'y': '1.33', 'z': '0.21', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.60', '2.67', '8.24', '7.54'], 'roll_eul': 1.26, 'pitch_eul': -0.51, 'yaw_eul': 12.52, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [1.03, 1.33], 'Ppro': [0.4, 1.33], 'Vgo': [-0.17, 0.99], 'ADeviation': 2.14, 'Aaims': 122.21, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 93, 'spR': 100, 'Yaw_deg': 120.07, 'stage': 1, 'round_count': 0, 'OfA1': 100, 'OfB1': 80, 'dir1': 2, 'TfA1': 2100, 'TfB1': 1680, 'FA1': 1870, 'FB1': 1480, 'pwmA1': 120, 'pwmB1': 65, 'over1': 0, 'pM1': 3140864, 'OfA2': 100, 'OfB2': 80, 'dir2': 2, 'TfA2': 2100, 'TfB2': 1680, 'FA2': 1900, 'FB2': 1490, 'pwmA2': 120, 'pwmB2': 65, 'over2': 0, 'pM2': 3140824, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 323.0, 'WindSpeed': 37.08, 'CO2': 0, 'ultrasound': [113, 140, 99, 684], 'mgt': 12079}
{'a': 11, 'rpitime': 3144.83, 'x': '0.90', 'y': '1.45', 'z': '0.38', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.86', '2.80', '7.92', '7.50'], 'roll_eul': 1.36, 'pitch_eul': -0.85, 'yaw_eul': 14.05, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [0.9, 1.45], 'Ppro': [0.4, 1.45], 'Vgo': [-0.14, 0.99], 'ADeviation': -5.03, 'Aaims': 116.57, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 100, 'spR': 84, 'Yaw_deg': 121.6, 'stage': 1, 'round_count': 0, 'OfA1': 100, 'OfB1': 93, 'dir1': 2, 'TfA1': 2100, 'TfB1': 1953, 'FA1': 1970, 'FB1': 1840, 'pwmA1': 90, 'pwmB1': 70, 'over1': 0, 'pM1': 3141151, 'OfA2': 84, 'OfB2': 100, 'dir2': 2, 'TfA2': 1764, 'TfB2': 2100, 'FA2': 1910, 'FB2': 1760, 'pwmA2': 95, 'pwmB2': 90, 'over2': 0, 'pM2': 3141208, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 323.0, 'WindSpeed': 37.08, 'CO2': 0, 'ultrasound': [113, 140, 99, 684], 'mgt': 12079}
{'a': 12, 'rpitime': 3145.12, 'x': '0.86', 'y': '1.49', 'z': '0.31', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['1.92', '2.82', '7.86', '7.56'], 'roll_eul': 1.39, 'pitch_eul': -0.66, 'yaw_eul': 14.41, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [0.86, 1.49], 'Ppro': [0.4, 1.49], 'Vgo': [-0.13, 0.99], 'ADeviation': -7.26, 'Aaims': 114.7, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 100, 'spR': 76, 'Yaw_deg': 121.96, 'stage': 1, 'round_count': 0, 'OfA1': 84, 'OfB1': 100, 'dir1': 2, 'TfA1': 1764, 'TfB1': 2100, 'FA1': 1660, 'FB1': 1970, 'pwmA1': 85, 'pwmB1': 85, 'over1': 0, 'pM1': 3141440, 'OfA2': 76, 'OfB2': 100, 'dir2': 2, 'TfA2': 1596, 'TfB2': 2100, 'FA2': 1590, 'FB2': 1920, 'pwmA2': 80, 'pwmB2': 85, 'over2': 0, 'pM2': 3141495, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 322.0, 'WindSpeed': 36.93, 'CO2': 0, 'ultrasound': [140, 204, 29, 178], 'mgt': 13305}
{'a': 13, 'rpitime': 3145.42, 'x': '0.86', 'y': '1.42', 'z': '0.07', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['2.01', '2.88', '7.43', '7.46'], 'roll_eul': 1.31, 'pitch_eul': -0.73, 'yaw_eul': 13.86, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [0.86, 1.42], 'Ppro': [0.4, 1.42], 'Vgo': [-0.13, 0.99], 'ADeviation': -6.71, 'Aaims': 114.7, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 100, 'spR': 78, 'Yaw_deg': 121.41, 'stage': 1, 'round_count': 0, 'OfA1': 76, 'OfB1': 100, 'dir1': 2, 'TfA1': 1596, 'TfB1': 2100, 'FA1': 1570, 'FB1': 1960, 'pwmA1': 50, 'pwmB1': 100, 'over1': 0, 'pM1': 3141727, 'OfA2': 78, 'OfB2': 100, 'dir2': 2, 'TfA2': 1638, 'TfB2': 2100, 'FA2': 1470, 'FB2': 1910, 'pwmA2': 65, 'pwmB2': 105, 'over2': 0, 'pM2': 3141781, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 322.0, 'WindSpeed': 36.93, 'CO2': 0, 'ultrasound': [140, 204, 29, 178], 'mgt': 13305}
{'a': 14, 'rpitime': 3145.72, 'x': '0.80', 'y': '1.46', 'z': '0.02', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['2.07', '2.96', '7.37', '7.44'], 'roll_eul': 1.39, 'pitch_eul': -0.88, 'yaw_eul': 12.44, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [0.8, 1.46], 'Ppro': [0.4, 1.46], 'Vgo': [-0.11, 0.99], 'ADeviation': -8.19, 'Aaims': 111.8, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 100, 'spR': 73, 'Yaw_deg': 119.99, 'stage': 1, 'round_count': 0, 'OfA1': 73, 'OfB1': 100, 'dir1': 2, 'TfA1': 1533, 'TfB1': 2100, 'FA1': 1550, 'FB1': 1960, 'pwmA1': 60, 'pwmB1': 105, 'over1': 0, 'pM1': 3142110, 'OfA2': 78, 'OfB2': 100, 'dir2': 2, 'TfA2': 1638, 'TfB2': 2100, 'FA2': 1510, 'FB2': 1940, 'pwmA2': 70, 'pwmB2': 100, 'over2': 0, 'pM2': 3142069, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 322.0, 'WindSpeed': 36.93, 'CO2': 0, 'ultrasound': [140, 204, 29, 178], 'mgt': 13305}
{'a': 15, 'rpitime': 3146.02, 'x': '0.84', 'y': '1.57', 'z': '0.13', 'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['2425', '240E', '2280', '24A4'], 'Ax': ['0.00', '3.05', '0.00', '3.05'], 'Ay': ['0.00', '0.00', '8.70', '8.70'], 'Az': ['1.10', '1.10', '1.10', '1.10'], 'ADist': ['2.14', '2.90', '7.81', '7.40'], 'roll_eul': 1.41, 'pitch_eul': -1.06, 'yaw_eul': 10.42, 'P0': [0.4, 1.0], 'P1': [0.4, 5.0], 'Pcar': [0.84, 1.57], 'Ppro': [0.4, 1.57], 'Vgo': [-0.13, 0.99], 'ADeviation': -4.22, 'Aaims': 113.75, 'reviseLv': 1, 'reviseFlag': 0, 'spL': 100, 'spR': 86, 'Yaw_deg': 117.97, 'stage': 1, 'round_count': 0, 'OfA1': 73, 'OfB1': 100, 'dir1': 2, 'TfA1': 1533, 'TfB1': 2100, 'FA1': 1410, 'FB1': 1950, 'pwmA1': 55, 'pwmB1': 105, 'over1': 0, 'pM1': 3142397, 'OfA2': 73, 'OfB2': 100, 'dir2': 2, 'TfA2': 1533, 'TfB2': 2100, 'FA2': 1440, 'FB2': 1920, 'pwmA2': 65, 'pwmB2': 115, 'over2': 0, 'pM2': 3142354, 'Tem': 0.0, 'Hum': 0.0, 'Pressure': 0.0, 'v': 322.0, 'WindSpeed': 36.93, 'CO2': 0, 'ultrasound': [140, 204, 29, 178], 'mgt': 13305}
