{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 360, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 363, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 365, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 46, 'urf': 59, 'umf': 64, 'ull': 7, 'urr': 34, 'ubb': 74, 'ul2': 100, 'ur2': 31, 'l1d': 2148, 'lld': 2064, 'rrd': 730, 'r1d': 207, 'imur': 367, 'pos': {'x': 3.49, 'y': 0.79, 'z': -0.41}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.45', '3.58', '4.81', '5.79']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 93, 'urf': 57, 'umf': 67, 'ull': 421, 'urr': 58, 'ubb': 94, 'ul2': 123, 'ur2': 59, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 370, 'pos': {'x': 3.37, 'y': 0.94, 'z': -0.29}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.46', '3.70', '4.91', '5.88']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 85, 'urf': 175, 'umf': 78, 'ull': 421, 'urr': 42, 'ubb': 103, 'ul2': 100, 'ur2': 63, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 371, 'pos': {'x': 3.36, 'y': 0.99, 'z': -0.32}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.62', '3.80', '4.82', '5.86']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 77, 'urf': 83, 'umf': 63, 'ull': 390, 'urr': 60, 'ubb': 114, 'ul2': 421, 'ur2': 100, 'l1d': 2264, 'lld': 1718, 'rrd': 1921, 'r1d': 588, 'imur': 371, 'pos': {'x': 3.39, 'y': 0.97, 'z': 0.07}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.96', '4.17', '4.96', '5.73']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 95, 'urf': 100, 'umf': 53, 'ull': 387, 'urr': 54, 'ubb': 129, 'ul2': 419, 'ur2': 62, 'l1d': 1250, 'lld': 1250, 'rrd': 1250, 'r1d': 1250, 'imur': 371, 'pos': {'x': 3.35, 'y': 1.3, 'z': -0.88}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.93', '4.15', '4.83', '5.69']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 84, 'urf': 100, 'umf': 59, 'ull': 415, 'urr': 43, 'ubb': 135, 'ul2': 390, 'ur2': 66, 'l1d': 1482, 'lld': 1491, 'rrd': 1657, 'r1d': 341, 'imur': 371, 'pos': {'x': 3.31, 'y': 1.34, 'z': -0.9}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['3.96', '4.05', '4.93', '5.60']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 87, 'urf': 133, 'umf': 66, 'ull': 383, 'urr': 31, 'ubb': 147, 'ul2': 388, 'ur2': 54, 'l1d': 1361, 'lld': 1373, 'rrd': 1898, 'r1d': 376, 'imur': 371, 'pos': {'x': 3.29, 'y': 1.33, 'z': -1.03}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['4097', '4090', '1D33', '0D9D'], 'Ax': ['6.50', '0.00', '6.03', '0.60'], 'Ay': ['0.00', '0.00', '4.85', '4.85'], 'Az': ['1.07', '1.07', '1.00', '1.07'], 'ADist': ['4.12', '4.15', '4.96', '5.52']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.49, 'oldy': 0.79, 'imuc': 370.721657647283, 'minimu': 111, 'mode': 'avoidance', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
