{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
{'ulf': 59, 'urf': 145, 'umf': 146, 'ull': 216, 'urr': 50, 'ubb': 87, 'ul2': 348, 'ur2': 53, 'l1d': 1642, 'lld': 1182, 'rrd': 1691, 'r1d': 1255, 'imur': 360, 'pos': {'x': 3.15, 'y': 11.19, 'z': 0.04}, 'posan': {'Anchor No': ['AN0', 'AN1', 'AN2', 'AN3'], 'AID': ['86AE', '0BAE', '0D9D', '1D33'], 'Ax': ['0.00', '6.50', '0.60', '6.03'], 'Ay': ['12.40', '12.40', '4.85', '4.85'], 'Az': ['1.07', '1.70', '1.07', '1.00'], 'ADist': ['3.55', '4.02', '7.33', '6.70']}, 'a': 1.5, 'b': 11.3, 'oldx': 3.15, 'oldy': 11.19, 'imuc': 446.1859251657096, 'minimu': 225, 'mode': 'navigation', 'status': 'Rotate left', 'setx': [1.5, 1.5, 7.1, 7.1, 11.7, 11.7, 1.5], 'sety': [11.3, 0.8, 1.3, 11.5, 11.43, 1, 0.8]}
